Date,Issue code,ISIN code,Exchange code,Issue classification,Industry code,Securities under supervision and to be delisted flag,Time,Session distinction,Price,Trading volume,Short selling regulation flag,Closing price input flag,State flag,Transaction ID
20200302,92790,JP3264860002,1,114,6100, ,90000073936,1,2728,4100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90026541157,1,2729,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90043835431,1,2729,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90043835431,1,2730,400,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90043837052,1,2733,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90043852125,1,2757,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90124895867,1,2739,300,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90526604353,1,2770,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90536077829,1,2776,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90536085043,1,2780,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90615658718,1,2794,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90658305253,1,2803,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90658523320,1,2803,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90658525589,1,2803,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90658525589,1,2804,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90837183865,1,2809,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90924035744,1,2815,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90939418994,1,2817,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,90939421706,1,2820,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91124193245,1,2813,200,0, ,  ,2.02003E+24
